505.758	9.8822
544.781	9.17432
571.875	8.73967
537.701	9.29512
570.685	8.7579
540.795	9.24194
551.209	9.06734
561.082	8.90779
537.172	9.30429
526.866	9.48628
567.961	8.79989
570.452	8.76147
0.019171	0.166919
0.00953422	0.0671266
0.0131763	0.0485719
0.0133673	0.0478779
0.0871024	0.00734767
0.0839919	0.00761978
0.100695	0.00635584
0.0956408	0.00669171
278.503	2.298e-06
0.672944	0.000951045
0.564486	0.0113378
0.790309	8.0981e-05
0.507745	0.000252095
0.722353	0.000265798
0.741511	0.000345241
0.664562	9.6304e-05
0.501395	0.000255288
0.719325	0.000266917
0	5.559e-05
0.0682283	4.397e-05
0.0715436	0.000139775
0.199779	0.000200221
0.20083	0.000398347
0.131146	0.00305003
0.296645	0.00303393
0.324668	0.000277206
0.191508	0.000234977
0.219927	0.000204613
0.0781895	0.000575525
